
[[toc]]

=Sorted by language=

||~ Language ||~ ||~ translated ||~ ||~ total ||~ ||~ percentage ||
|| [[Indonesian (Bahasa Indonesia).lng|Indonesian (Bahasa Indonesia)]]   || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Indonesian.lng|Indonesian]]                                         || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Italian.lng|Italian]]                                               || ||=  74 || ||=  84 || ||>    88 % ||
|| [[Japanese.lng|Japanese]]                                             || ||=  78 || ||=  84 || ||>    92 % ||
|| [[Javanese.lng|Javanese]]                                             || ||=  62 || ||=  84 || ||>    73 % ||
|| [[Kapampangan.lng|Kapampangan]]                                       || ||=  62 || ||=  84 || ||>    73 % ||
|| [[Korean.lng|Korean]]                                                 || ||=  78 || ||=  84 || ||>    92 % ||
|| [[Latin.lng|Latin]]                                                   || ||=  78 || ||=  84 || ||>    92 % ||
|| [[Latvian.lng|Latvian]]                                               || ||=  63 || ||=  84 || ||>    75 % ||
|| [[Macedonian.lng|Macedonian]]                                         || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Norwegian.lng|Norwegian]]                                           || ||=  63 || ||=  84 || ||>    75 % ||
|| [[Polish.lng|Polish]]                                                 || ||=  78 || ||=  84 || ||>    92 % ||
|| [[Portuguese (BR).lng|Portuguese (BR)]]                               || ||=  61 || ||=  84 || ||>    72 % ||
|| [[Portuguese.lng|Portuguese]]                                         || ||=  78 || ||=  84 || ||>    92 % ||
|| [[Romanian.lng|Romanian]]                                             || ||=  63 || ||=  84 || ||>    75 % ||
|| [[Russian.lng|Russian]]                                               || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Serbian.lng|Serbian]]                                               || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Slovak.lng|Slovak]]                                                 || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Slovenian.lng|Slovenian]]                                           || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Spanish (AR).lng|Spanish (AR)]]                                     || ||=  62 || ||=  84 || ||>    73 % ||
|| [[Spanish (ES).lng|Spanish (ES)]]                                     || ||=  63 || ||=  84 || ||>    75 % ||
|| [[Spanish (MEX).lng|Spanish (MEX)]]                                   || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Swedish.lng|Swedish]]                                               || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Tamil.lng|Tamil]]                                                   || ||=  70 || ||=  84 || ||>    83 % ||
|| [[Thai.lng|Thai]]                                                     || ||=  66 || ||=  84 || ||>    78 % ||
|| [[Turkish.lng|Turkish]]                                               || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Ukrainian.lng|Ukrainian]]                                           || ||=  80 || ||=  84 || ||>    95 % ||
|| [[Vietnamese (VI).lng|Vietnamese (VI)]]                               || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Waray-Waray.lng|Waray-Waray]]                                       || ||=  61 || ||=  84 || ||>    72 % ||
|| [[Yiddish.lng|Yiddish]]                                               || ||=  79 || ||=  84 || ||>    94 % ||

[[toc]]

=Sorted by percent completed=

||~ Language ||~ ||~ translated ||~ ||~ total ||~ ||~ percentage ||
|| [[Burmese (Padauk).lng|Burmese (Padauk)]]                             || ||=  83 || ||=  84 || ||>    98 % ||
|| [[German.lng|German]]                                                 || ||=  83 || ||=  84 || ||>    98 % ||
|| [[Hindi.lng|Hindi]]                                                   || ||=  83 || ||=  84 || ||>    98 % ||
|| [[Belarusian.lng|Belarusian]]                                         || ||=  81 || ||=  84 || ||>    96 % ||
|| [[Ukrainian.lng|Ukrainian]]                                           || ||=  80 || ||=  84 || ||>    95 % ||
|| [[Turkish.lng|Turkish]]                                               || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Bulgarian.lng|Bulgarian]]                                           || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Hebrew.lng|Hebrew]]                                                 || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Yiddish.lng|Yiddish]]                                               || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Indonesian (Bahasa Indonesia).lng|Indonesian (Bahasa Indonesia)]]   || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Indonesian.lng|Indonesian]]                                         || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Slovenian.lng|Slovenian]]                                           || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Macedonian.lng|Macedonian]]                                         || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Serbian.lng|Serbian]]                                               || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Russian.lng|Russian]]                                               || ||=  79 || ||=  84 || ||>    94 % ||
|| [[Japanese.lng|Japanese]]                                             || ||=  78 || ||=  84 || ||>    92 % ||
|| [[Portuguese.lng|Portuguese]]                                         || ||=  78 || ||=  84 || ||>    92 % ||
|| [[Latin.lng|Latin]]                                                   || ||=  78 || ||=  84 || ||>    92 % ||
|| [[Polish.lng|Polish]]                                                 || ||=  78 || ||=  84 || ||>    92 % ||
|| [[Korean.lng|Korean]]                                                 || ||=  78 || ||=  84 || ||>    92 % ||
|| [[Estonian.lng|Estonian]]                                             || ||=  77 || ||=  84 || ||>    91 % ||
|| [[Bosanski.lng|Bosanski]]                                             || ||=  76 || ||=  84 || ||>    90 % ||
|| [[Arabic.lng|Arabic]]                                                 || ||=  76 || ||=  84 || ||>    90 % ||
|| [[Italian.lng|Italian]]                                               || ||=  74 || ||=  84 || ||>    88 % ||
|| [[Czech.lng|Czech]]                                                   || ||=  73 || ||=  84 || ||>    86 % ||
|| [[Icelandic.lng|Icelandic]]                                           || ||=  72 || ||=  84 || ||>    85 % ||
|| [[Georgian.lng|Georgian]]                                             || ||=  72 || ||=  84 || ||>    85 % ||
|| [[Tamil.lng|Tamil]]                                                   || ||=  70 || ||=  84 || ||>    83 % ||
|| [[Greek.lng|Greek]]                                                   || ||=  68 || ||=  84 || ||>    80 % ||
|| [[French (FR).lng|French (FR)]]                                       || ||=  68 || ||=  84 || ||>    80 % ||
|| [[Thai.lng|Thai]]                                                     || ||=  66 || ||=  84 || ||>    78 % ||
|| [[Farsi.lng|Farsi]]                                                   || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Spanish (MEX).lng|Spanish (MEX)]]                                   || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Swedish.lng|Swedish]]                                               || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Chinese (Simplified).lng|Chinese (Simplified)]]                     || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Hungarian.lng|Hungarian]]                                           || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Vietnamese (VI).lng|Vietnamese (VI)]]                               || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Chinese (Traditional).lng|Chinese (Traditional)]]                   || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Galician.lng|Galician]]                                             || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Slovak.lng|Slovak]]                                                 || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Finnish.lng|Finnish]]                                               || ||=  64 || ||=  84 || ||>    76 % ||
|| [[Iloko.lng|Iloko]]                                                   || ||=  63 || ||=  84 || ||>    75 % ||
|| [[Romanian.lng|Romanian]]                                             || ||=  63 || ||=  84 || ||>    75 % ||
|| [[Spanish (ES).lng|Spanish (ES)]]                                     || ||=  63 || ||=  84 || ||>    75 % ||
|| [[Latvian.lng|Latvian]]                                               || ||=  63 || ||=  84 || ||>    75 % ||
|| [[Filipino (Tagalog).lng|Filipino (Tagalog)]]                         || ||=  63 || ||=  84 || ||>    75 % ||
|| [[Norwegian.lng|Norwegian]]                                           || ||=  63 || ||=  84 || ||>    75 % ||
|| [[Catalan.lng|Catalan]]                                               || ||=  62 || ||=  84 || ||>    73 % ||
|| [[Javanese.lng|Javanese]]                                             || ||=  62 || ||=  84 || ||>    73 % ||
|| [[Croatian.lng|Croatian]]                                             || ||=  62 || ||=  84 || ||>    73 % ||
|| [[Kapampangan.lng|Kapampangan]]                                       || ||=  62 || ||=  84 || ||>    73 % ||
|| [[Spanish (AR).lng|Spanish (AR)]]                                     || ||=  62 || ||=  84 || ||>    73 % ||
|| [[Waray-Waray.lng|Waray-Waray]]                                       || ||=  61 || ||=  84 || ||>    72 % ||
|| [[Dutch.lng|Dutch]]                                                   || ||=  61 || ||=  84 || ||>    72 % ||
|| [[Portuguese (BR).lng|Portuguese (BR)]]                               || ||=  61 || ||=  84 || ||>    72 % ||
|| [[Danish.lng|Danish]]                                                 || ||=  61 || ||=  84 || ||>    72 % ||
|| [[English (GB).lng|English (GB)]]                                     || ||=  11 || ||=  84 || ||>    13 % ||
|| [[English (US).lng|English (US)]]                                     || ||=   0 || ||=  84 || ||>     0 % ||

[[toc]]
